SpellSuggester
Algoritmo		Talla		Threshold		Tiempo
levenshtein			10		0		  17.328125
levenshtein			10		3		  34.5
levenshtein			10		6		  51.59375
levenshtein			10		9		  68.796875
levenshtein			10		15		  85.96875
levenshtein			20		0		  37.296875
levenshtein			20		3		  74.890625
levenshtein			20		6		  112.34375
levenshtein			20		9		  149.921875
levenshtein			20		15		  187.5625
levenshtein			30		0		  58.0
levenshtein			30		3		  115.78125
levenshtein			30		6		  173.609375
levenshtein			30		9		  231.3125
levenshtein			30		15		  289.1875
levenshtein			40		0		  79.59375
levenshtein			40		3		  159.375
levenshtein			40		6		  238.875
levenshtein			40		9		  318.96875
levenshtein			40		15		  399.546875
levenshtein			50		0		  108.890625
levenshtein			50		3		  215.578125
levenshtein			50		6		  323.953125
levenshtein			50		9		  429.96875
levenshtein			50		15		  538.5625
restricted			10		0		  18.390625
restricted			10		3		  36.734375
restricted			10		6		  55.015625
restricted			10		9		  73.296875
restricted			10		15		  91.46875
restricted			20		0		  40.421875
restricted			20		3		  80.78125
restricted			20		6		  121.296875
restricted			20		9		  161.546875
restricted			20		15		  201.96875
restricted			30		0		  62.3125
restricted			30		3		  124.390625
restricted			30		6		  186.46875
restricted			30		9		  248.875
restricted			30		15		  311.015625
restricted			40		0		  85.515625
restricted			40		3		  170.625
restricted			40		6		  255.84375
restricted			40		9		  341.15625
restricted			40		15		  426.828125
restricted			50		0		  115.171875
restricted			50		3		  230.171875
restricted			50		6		  344.65625
restricted			50		9		  459.296875
restricted			50		15		  574.375
intermediate			10		0		  161.640625
intermediate			10		3		  322.46875
intermediate			10		6		  484.140625
intermediate			10		9		  644.578125
intermediate			10		15		  802.796875
intermediate			20		0		  337.5
intermediate			20		3		  677.03125
intermediate			20		6		  1016.984375
intermediate			20		9		  1342.1875
intermediate			20		15		  1683.671875
intermediate			30		0		  550.015625
intermediate			30		3		  1101.78125
intermediate			30		6		  1654.125
intermediate			30		9		  2204.625
intermediate			30		15		  2756.4375
intermediate			40		0		  780.34375
intermediate			40		3		  1561.859375
intermediate			40		6		  2341.703125
intermediate			40		9		  3119.3125
intermediate			40		15		  3862.640625
intermediate			50		0		  930.53125
intermediate			50		3		  1907.328125
intermediate			50		6		  2856.140625
intermediate			50		9		  3797.765625
intermediate			50		15		  4735.296875
