TrieSpellSuggester
Algoritmo		Talla		 Threshold		Tiempo
levenshtein			10		0		  6.59375
levenshtein			10		3		  13.109375
levenshtein			10		6		  19.65625
levenshtein			10		9		  26.296875
levenshtein			10		15		  32.9375
levenshtein			20		0		  15.0
levenshtein			20		3		  29.9375
levenshtein			20		6		  45.15625
levenshtein			20		9		  60.375
levenshtein			20		15		  75.609375
levenshtein			30		0		  23.046875
levenshtein			30		3		  45.953125
levenshtein			30		6		  68.9375
levenshtein			30		9		  91.875
levenshtein			30		15		  114.875
levenshtein			40		0		  31.578125
levenshtein			40		3		  62.921875
levenshtein			40		6		  94.421875
levenshtein			40		9		  126.25
levenshtein			40		15		  158.046875
levenshtein			50		0		  42.984375
levenshtein			50		3		  87.578125
levenshtein			50		6		  132.203125
levenshtein			50		9		  172.9375
levenshtein			50		15		  212.859375
restricted			10		0		  6.515625
restricted			10		3		  12.9375
restricted			10		6		  19.390625
restricted			10		9		  25.953125
restricted			10		15		  32.453125
restricted			20		0		  14.890625
restricted			20		3		  29.75
restricted			20		6		  44.625
restricted			20		9		  59.703125
restricted			20		15		  74.75
restricted			30		0		  22.703125
restricted			30		3		  45.390625
restricted			30		6		  68.328125
restricted			30		9		  91.3125
restricted			30		15		  114.3125
restricted			40		0		  31.234375
restricted			40		3		  62.609375
restricted			40		6		  94.078125
restricted			40		9		  125.859375
restricted			40		15		  157.65625
restricted			50		0		  43.640625
restricted			50		3		  86.859375
restricted			50		6		  130.15625
restricted			50		9		  173.625
restricted			50		15		  217.234375
intermediate			10		0		  6.5
intermediate			10		3		  12.96875
intermediate			10		6		  19.421875
intermediate			10		9		  26.0
intermediate			10		15		  32.59375
intermediate			20		0		  15.0
intermediate			20		3		  29.859375
intermediate			20		6		  44.796875
intermediate			20		9		  59.78125
intermediate			20		15		  74.953125
intermediate			30		0		  22.859375
intermediate			30		3		  45.546875
intermediate			30		6		  68.4375
intermediate			30		9		  91.453125
intermediate			30		15		  114.8125
intermediate			40		0		  31.390625
intermediate			40		3		  62.84375
intermediate			40		6		  94.46875
intermediate			40		9		  126.359375
intermediate			40		15		  158.28125
intermediate			50		0		  43.140625
intermediate			50		3		  86.34375
intermediate			50		6		  129.78125
intermediate			50		9		  173.3125
intermediate			50		15		  217.015625
