SpellSuggester
Algoritmo		Talla		Threshold		Tiempo
levenshtein			1		0		  3.546875
levenshtein			1		1		  3.609375
levenshtein			1		2		  3.484375
levenshtein			2		0		  4.234375
levenshtein			2		1		  4.328125
levenshtein			2		2		  4.296875
restricted			1		0		  3.578125
restricted			1		1		  3.65625
restricted			1		2		  3.859375
restricted			2		0		  4.34375
restricted			2		1		  4.390625
restricted			2		2		  4.359375
intermediate			1		0		  31.828125
intermediate			1		1		  32.953125
intermediate			1		2		  32.875
intermediate			2		0		  38.59375
intermediate			2		1		  37.984375
intermediate			2		2		  38.984375
