TrieSpellSuggester
Algoritmo		Talla		 Threshold		Tiempo
levenshtein			1		0		  3.5
levenshtein			1		1		  3.6875
levenshtein			1		2		  3.34375
levenshtein			2		0		  4.9375
levenshtein			2		1		  4.453125
levenshtein			2		2		  4.453125
restricted			1		0		  3.75
restricted			1		1		  3.59375
restricted			1		2		  3.53125
restricted			2		0		  4.859375
restricted			2		1		  4.484375
restricted			2		2		  4.90625
intermediate			1		0		  32.5
intermediate			1		1		  34.09375
intermediate			1		2		  34.6875
intermediate			2		0		  36.984375
intermediate			2		1		  38.53125
intermediate			2		2		  39.3125
