----------------------------------------------------
DIMENSION DE PCA:  50

T 	 C 	    D 	    G 	    Ac 	         Int.Confianza 
 0 	 1 	    ---     --- 	0.925000 	 0.021076   
1 	 1 	    1 	    --- 	0.920000 	 0.021708   
1 	 1 	    2 	    --- 	0.961667 	 0.015363   
1 	 1 	    3 	    --- 	0.950000 	 0.017439   
1 	 1 	    4 	    --- 	0.926667 	 0.020859   
1 	 1 	    5 	    --- 	0.893333 	 0.024700   
2 	 1 	    ---     0.1   	0.945000 	 0.018242   
2 	 1 	    ---     0.01    0.956667 	 0.016292   
2 	 1 	    ---     0.001   0.910000 	 0.022899   
2 	 1 	    ---     0.0001  0.773333 	 0.033501   
2 	 1 	    ---     1e-05   0.123333 	 0.026311   
3 	 1 	    ---     0.1   	0.503333 	 0.040007   
3 	 1 	    ---     0.01    0.916667 	 0.022115   
3 	 1 	    ---     0.001   0.888333 	 0.025202   
3 	 1 	    ---     0.0001  0.508333 	 0.040003   
3 	 1 	    ---     1e-05   0.123333 	 0.026311   
0 	 1 	    ---     --- 	0.925000 	 0.021076   
1 	 10     1 	    --- 	0.923333 	 0.021289   
1 	 10     2 	    --- 	0.951667 	 0.017161   
1 	 10     3 	    --- 	0.958333 	 0.015989   
1 	 10     4 	    --- 	0.941667 	 0.018754   
1 	 10     5 	    --- 	0.941667 	 0.018754   
2 	 10     ---     0.1   	0.945000 	 0.018242   
2 	 10     ---     0.01    0.956667 	 0.016292   
2 	 10     ---     0.001   0.910000 	 0.022899   
2 	 10     ---     0.0001  0.773333 	 0.033501   
2 	 10     ---     1e-05   0.123333 	 0.026311   
3 	 10     ---     0.1   	0.503333 	 0.040007   
3 	 10     ---     0.01    0.916667 	 0.022115   
3 	 10     ---     0.001   0.888333 	 0.025202   
3 	 10     ---     0.0001  0.508333 	 0.040003   
3 	 10     ---     1e-05   0.123333 	 0.026311   
0 	 1 	    ---     --- 	0.925000 	 0.021076   
1 	 100    1 	    --- 	0.908333 	 0.023089   
1 	 100    2 	    --- 	0.953333 	 0.016877   
1 	 100    3 	    --- 	0.958333 	 0.015989   
1 	 100    4 	    --- 	0.940000 	 0.019003   
1 	 100    5 	    --- 	0.930000 	 0.020416   
2 	 100    ---     0.1   	0.945000 	 0.018242   
2 	 100    ---     0.01    0.956667 	 0.016292   
2 	 100    ---     0.001   0.910000 	 0.022899   
2 	 100    ---     0.0001  0.773333 	 0.033501   
2 	 100    ---     1e-05   0.123333 	 0.026311   
3 	 100    ---     0.1   	0.503333 	 0.040007   
3 	 100    ---     0.01    0.916667 	 0.022115   
3 	 100    ---     0.001   0.888333 	 0.025202   
3 	 100    ---     0.0001  0.508333 	 0.040003   
3 	 100    ---     1e-05   0.123333 	 0.026311   
0 	 1 	    ---     --- 	0.925000 	 0.021076   
1 	 1000   1 	    --- 	0.908333 	 0.023089   
1 	 1000   2 	    ---     0.953333 	 0.016877   
1 	 1000 	3 	    --- 	0.958333 	 0.015989   
1 	 1000 	4 	    --- 	0.940000 	 0.019003   
1 	 1000 	5 	    --- 	0.930000 	 0.020416   
2 	 1000 	---     0.1   	0.945000 	 0.018242   
2 	 1000 	---     0.01   	0.956667 	 0.016292   
2 	 1000 	---     0.001   0.910000 	 0.022899   
2 	 1000 	---     0.0001  0.773333 	 0.033501   
2 	 1000 	---     1e-05   0.123333 	 0.026311   
3 	 1000 	---     0.1   	0.503333 	 0.040007   
3 	 1000 	---     0.01   	0.916667 	 0.022115   
3 	 1000 	---     0.001   0.888333 	 0.025202   
3 	 1000 	---     0.0001  0.508333 	 0.040003   
3 	 1000 	---     1e-05   0.123333 	 0.026311   
0 	 1 	    ---     --- 	0.925000 	 0.021076   
1 	 10000 	1 	    --- 	0.905000 	 0.023462   
1 	 10000 	2       --- 	0.953333 	 0.016877   
1 	 10000 	3 	    --- 	0.958333 	 0.015989   
1 	 10000 	4 	    --- 	0.940000 	 0.019003   
1 	 10000  5 	    --- 	0.930000 	 0.020416   
2 	 10000 	---     0.1   	0.945000 	 0.018242   
2 	 10000 	---     0.01   	0.956667 	 0.016292   
2 	 10000 	---     0.001   0.910000 	 0.022899   
2 	 10000 	---     0.0001  0.773333 	 0.033501   
2 	 10000 	---     1e-05   0.123333 	 0.026311   
3 	 10000 	---     0.1   	0.503333 	 0.040007   
3 	 10000 	---     0.01   	0.916667 	 0.022115   
3 	 10000 	---     0.001   0.888333 	 0.025202   
3 	 10000  ---     0.0001  0.508333 	 0.040003   
3 	 10000	---     1e-05   0.123333 	 0.026311 
----------------------------------------------------

----------------------------------------------------
DIMENSION DE PCA: 100

T 	 C 	    D 	    G 	     Ac 	         Int.Confianza 
0 	 1 	    --- 	--- 	 0.906667 	 0.023277   
1 	 1 	    1 	    --- 	 0.923333 	 0.021289   
1 	 1 	    2 	    --- 	 0.953333 	 0.016877   
1 	 1 	    3 	    --- 	 0.896667 	 0.024357   
1 	 1 	    4 	    --- 	 0.518333 	 0.039981   
1 	 1 	    5 	    --- 	 0.246667 	 0.034493   
2 	 1 	    --- 	0.1   	 0.906667 	 0.023277   
2 	 1 	    --- 	0.01   	 0.961667 	 0.015363   
2 	 1 	    --- 	0.001    0.913333 	 0.022512   
2 	 1 	    --- 	0.0001   0.775000 	 0.033414   
2 	 1 	    --- 	1e-05    0.123333 	 0.026311   
3 	 1 	    --- 	0.1   	 0.508333 	 0.040003   
3 	 1 	    --- 	0.01   	 0.918333 	 0.021913   
3 	 1 	    --- 	0.001    0.893333 	 0.024700   
3 	 1 	    --- 	0.0001 	 0.508333 	 0.040003   
3 	 1 	    --- 	1e-05 	 0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.906667 	 0.023277   
1 	 10 	1 	    --- 	 0.913333 	 0.022512   
1 	 10 	2 	    --- 	 0.960000 	 0.015680   
1 	 10 	3 	    --- 	 0.958333 	 0.015989   
1 	 10 	4 	    --- 	 0.923333 	 0.021289   
1 	 10 	5 	    --- 	 0.756667 	 0.034335   
2 	 10 	--- 	0.1   	 0.906667 	 0.023277   
2 	 10 	--- 	0.01   	 0.961667 	 0.015363   
2 	 10 	--- 	0.001    0.913333 	 0.022512   
2 	 10 	--- 	0.0001   0.775000 	 0.033414   
2 	 10 	--- 	1e-05    0.123333 	 0.026311   
3 	 10 	--- 	0.1   	 0.508333 	 0.040003   
3 	 10 	--- 	0.01   	 0.918333 	 0.021913   
3 	 10 	--- 	0.001    0.893333 	 0.024700   
3 	 10 	--- 	0.0001   0.508333 	 0.040003   
3 	 10 	--- 	1e-05    0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.906667 	 0.023277   
1 	 100 	1 	    --- 	 0.906667 	 0.023277   
1 	 100 	2 	    --- 	 0.958333 	 0.015989   
1 	 100 	3 	    --- 	 0.961667 	 0.015363   
1 	 100 	4 	    --- 	 0.943333 	 0.018500   
1 	 100 	5 	    --- 	 0.933333 	 0.019960   
2 	 100 	--- 	0.1   	 0.906667 	 0.023277   
2 	 100 	--- 	0.01   	 0.961667 	 0.015363   
2 	 100 	--- 	0.001    0.913333 	 0.022512   
2 	 100 	--- 	0.0001   0.775000 	 0.033414   
2 	 100 	--- 	1e-05    0.123333 	 0.026311   
3 	 100 	--- 	0.1   	 0.508333 	 0.040003   
3 	 100 	--- 	0.01   	 0.918333 	 0.021913   
3 	 100 	--- 	0.001    0.893333 	 0.024700   
3 	 100 	--- 	0.0001 	 0.508333 	 0.040003   
3 	 100 	--- 	1e-05    0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.906667 	 0.023277   
1 	 1000 	1 	    --- 	 0.888333 	 0.025202   
1 	 1000 	2 	    --- 	 0.958333 	 0.015989   
1 	 1000 	3 	    --- 	 0.961667 	 0.015363   
1 	 1000 	4 	    --- 	 0.941667 	 0.018754   
1 	 1000 	5 	    --- 	 0.933333 	 0.019960   
2 	 1000 	--- 	0.1   	 0.906667 	 0.023277   
2 	 1000 	--- 	0.01   	 0.961667 	 0.015363   
2 	 1000 	--- 	0.001    0.913333 	 0.022512   
2 	 1000 	--- 	0.0001   0.775000 	 0.033414   
2 	 1000 	--- 	1e-05    0.123333 	 0.026311   
3 	 1000 	--- 	0.1   	 0.508333 	 0.040003   
3 	 1000 	--- 	0.01   	 0.918333 	 0.021913   
3 	 1000 	--- 	0.001    0.893333 	 0.024700   
3 	 1000 	--- 	0.0001   0.508333 	 0.040003   
3 	 1000 	--- 	1e-05    0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.906667 	 0.023277   
1 	 10000 	1 	    --- 	 0.890000 	 0.025036   
1 	 10000 	2 	    --- 	 0.958333 	 0.015989   
1 	 10000 	3 	    --- 	 0.961667 	 0.015363   
1 	 10000 	4 	    --- 	 0.941667 	 0.018754   
1 	 10000 	5 	    --- 	 0.933333 	 0.019960   
2 	 10000 	--- 	0.1   	 0.906667 	 0.023277   
2 	 10000 	--- 	0.01   	 0.961667 	 0.015363   
2 	 10000 	--- 	0.001    0.913333 	 0.022512   
2 	 10000 	--- 	0.0001   0.775000 	 0.033414   
2 	 10000 	--- 	1e-05    0.123333 	 0.026311   
3 	 10000 	--- 	0.1   	 0.508333 	 0.040003   
3 	 10000 	--- 	0.01   	 0.918333 	 0.021913   
3 	 10000 	--- 	0.001    0.893333 	 0.024700   
3 	 10000 	--- 	0.0001   0.508333 	 0.040003   
3 	 10000 	--- 	1e-05    0.123333 	 0.026311 
----------------------------------------------------

----------------------------------------------------
DIMENSION DE PCA: 200
T 	 C 	    D 	    G 	     Ac 	     Int.Confianza 
 0 	 1 	    --- 	--- 	 0.901667 	 0.023826   
1 	 1 	    1 	    --- 	 0.916667 	 0.022115   
1 	 1 	    2 	    --- 	 0.905000 	 0.023462   
1 	 1 	    3 	    --- 	 0.391667 	 0.039058   
1 	 1 	    4 	    --- 	 0.138333 	 0.027626   
1 	 1 	    5 	    --- 	 0.123333 	 0.026311   
2 	 1 	    --- 	0.1   	 0.846667 	 0.028831   
2 	 1 	    --- 	0.01   	 0.960000 	 0.015680   
2 	 1 	    --- 	0.001    0.913333 	 0.022512   
2 	 1 	    --- 	0.0001   0.776667 	 0.033325   
2 	 1 	    --- 	1e-05    0.123333 	 0.026311   
3 	 1 	    --- 	0.1   	 0.526667 	 0.039951   
3 	 1 	    --- 	0.01   	 0.923333 	 0.021289   
3 	 1 	    --- 	0.001    0.895000 	 0.024529   
3 	 1 	    --- 	0.0001   0.510000 	 0.040000   
3 	 1 	    --- 	1e-05    0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.901667 	 0.023826   
1 	 10 	1 	    --- 	 0.923333 	 0.021289   
1 	 10 	2 	    --- 	 0.965000 	 0.014705   
1 	 10 	3 	    --- 	 0.906667 	 0.023277   
1 	 10 	4 	    --- 	 0.430000 	 0.039614   
1 	 10 	5 	    --- 	 0.165000 	 0.029701   
2 	 10 	--- 	0.1   	 0.846667 	 0.028831   
2 	 10 	--- 	0.01   	 0.960000 	 0.015680   
2 	 10 	--- 	0.001    0.913333 	 0.022512   
2 	 10 	--- 	0.0001   0.776667 	 0.033325   
2 	 10 	--- 	1e-05    0.123333 	 0.026311   
3 	 10 	--- 	0.1   	 0.526667 	 0.039951   
3 	 10 	--- 	0.01   	 0.923333 	 0.021289   
3 	 10 	--- 	0.001    0.895000 	 0.024529   
3 	 10 	--- 	0.0001   0.510000 	 0.040000   
3 	 10 	--- 	1e-05    0.123333 	 0.026311   
0 	 1 	    --- 	--- 	 0.901667 	 0.023826   
1 	 100 	1 	    --- 	 0.900000 	 0.024005   
1 	 100 	2 	    --- 	 0.953333 	 0.016877   
1 	 100 	3 	    --- 	 0.965000 	 0.014705   
1 	 100 	4 	    --- 	 0.906667 	 0.023277   
1 	 100 	5 	    --- 	 0.491667 	 0.040003   
2 	 100 	--- 	0.1   	 0.846667 	 0.028831   
2 	 100 	--- 	0.01   	 0.960000 	 0.015680   
2 	 100 	--- 	0.001    0.913333 	 0.022512   
2 	 100    --- 	0.0001   0.776667 	 0.033325   
2 	 100 	--- 	1e-05    0.123333 	 0.026311   
3 	 100 	--- 	0.1   	 0.526667 	 0.039951   
3 	 100 	--- 	0.01   	 0.923333 	 0.021289   
3 	 100 	--- 	0.001    0.895000 	 0.024529   
3 	 100 	--- 	0.0001   0.510000 	 0.040000   
