-> alpha = 1e-5 
 K   alpha dv-err
--- ------- ------
  1 1.0e-05   69.55   1
  2 1.0e-05   72.08   1
  5 1.0e-05   74.92   1
 10 1.0e-05   77.18   1
 20 1.0e-05   78.48   1
 50 1.0e-05   76.08   1
100 1.0e-05   75.88   1
  1 1.0e-05   55.48   2
  2 1.0e-05   57.05   2
  5 1.0e-05   58.47   2
 10 1.0e-05   60.90   2
 20 1.0e-05   62.82   2
 50 1.0e-05   64.05   2
100 1.0e-05   62.75   2
  1 1.0e-05   29.88   5
  2 1.0e-05   29.27   5
  5 1.0e-05   28.17   5
 10 1.0e-05   29.13   5
 20 1.0e-05   29.13   5
 50 1.0e-05   29.38   5
100 1.0e-05   29.47   5
  1 1.0e-05   14.93  10
  2 1.0e-05   13.37  10
  5 1.0e-05   11.52  10
 10 1.0e-05   10.82  10
 20 1.0e-05    9.97  10
 50 1.0e-05    9.13  10
100 1.0e-05    8.58  10
  1 1.0e-05    8.48  20
  2 1.0e-05    7.37  20
  5 1.0e-05    5.53  20
 10 1.0e-05    5.43  20
 20 1.0e-05    4.92  20
 50 1.0e-05    4.18  20
100 1.0e-05    3.53  20
  1 1.0e-05    6.57  50
  2 1.0e-05    5.68  50
  5 1.0e-05    4.62  50
 10 1.0e-05    3.92  50
 20 1.0e-05    3.52  50
 50 1.0e-05    2.45  50
100 1.0e-05    2.50  50
  1 1.0e-05    6.47 100
  2 1.0e-05    5.40 100
  5 1.0e-05    4.40 100
 10 1.0e-05    3.77 100
 20 1.0e-05    3.18 100
 50 1.0e-05    2.23 100
100 1.0e-05    2.33 100






-> alpha = 1e-4
K   alpha dv-err
--- ------- ------
  1 1.0e-04   69.40   1
  2 1.0e-04   71.57   1
  5 1.0e-04   75.22   1
 10 1.0e-04   78.33   1
 20 1.0e-04   78.07   1
 50 1.0e-04   75.93   1
 100 1.0e-04   76.17   1
  1 1.0e-04   55.03   2
  2 1.0e-04   59.40   2
  5 1.0e-04   60.38   2
 10 1.0e-04   61.20   2
 20 1.0e-04   62.65   2
 50 1.0e-04   63.92   2
 100 1.0e-04   64.25   2
  1 1.0e-04   28.33   5
  2 1.0e-04   27.73   5
  5 1.0e-04   28.68   5
 10 1.0e-04   29.55   5
 20 1.0e-04   32.08   5
 50 1.0e-04   31.38   5
 100 1.0e-04   31.00   5
  1 1.0e-04   11.82  10
  2 1.0e-04   10.55  10
  5 1.0e-04    9.78  10
 10 1.0e-04    9.13  10
 20 1.0e-04    8.92  10
 50 1.0e-04    7.78  10
 100 1.0e-04    7.67  10
  1 1.0e-04    6.17  20
  2 1.0e-04    5.35  20
  5 1.0e-04    4.35  20
 10 1.0e-04    4.18  20
 20 1.0e-04    3.62  20
 50 1.0e-04    3.22  20
 100 1.0e-04    2.52  20
  1 1.0e-04    4.68  50
  2 1.0e-04    3.80  50
  5 1.0e-04    3.10  50
 10 1.0e-04    2.60  50
 20 1.0e-04    2.33  50
 50 1.0e-04    1.83  50
 100 1.0e-04    1.67  50
  1 1.0e-04    4.27 100
  2 1.0e-04    3.58 100
  5 1.0e-04    2.97 100
 10 1.0e-04    2.52 100
 20 1.0e-04    2.15 100
 50 1.0e-04    1.60 100
 100 1.0e-04    1.85 100









-> alpha = 1e-3
  K   alpha dv-err
--- ------- ------
  1 1.0e-03   69.42   1
  2 1.0e-03   73.65   1
  5 1.0e-03   74.70   1
 10 1.0e-03   76.03   1
 20 1.0e-03   77.17   1
 50 1.0e-03   76.93   1
 100 1.0e-03   76.33   1
  1 1.0e-03   55.52   2
  2 1.0e-03   60.27   2
  5 1.0e-03   60.92   2
 10 1.0e-03   63.47   2
 20 1.0e-03   67.22   2
 50 1.0e-03   69.30   2
 100 1.0e-03   67.70   2
  1 1.0e-03   28.53   5
  2 1.0e-03   28.08   5
  5 1.0e-03   30.48   5
 10 1.0e-03   31.23   5
 20 1.0e-03   33.55   5
 50 1.0e-03   36.20   5
 100 1.0e-03   36.50   5
  1 1.0e-03   12.27  10
  2 1.0e-03   11.82  10
  5 1.0e-03   10.57  10
 10 1.0e-03   10.20  10
 20 1.0e-03   10.93  10
 50 1.0e-03    9.32  10
 100 1.0e-03    9.90  10
  1 1.0e-03    6.70  20
  2 1.0e-03    6.10  20
  5 1.0e-03    5.25  20
 10 1.0e-03    4.42  20
 20 1.0e-03    4.37  20
 50 1.0e-03    4.18  20
 100 1.0e-03    3.97  20
  1 1.0e-03    5.68  50
  2 1.0e-03    5.27  50
  5 1.0e-03    4.53  50
 10 1.0e-03    3.30  50
 20 1.0e-03    3.35  50
 50 1.0e-03    2.90  50
 100 1.0e-03    3.38  50
  1 1.0e-03    5.62 100
  2 1.0e-03    5.28 100
  5 1.0e-03    4.28 100
 10 1.0e-03    3.37 100
 20 1.0e-03    3.43 100
 50 1.0e-03    3.52 100
 100 1.0e-03    3.38 100





-> alpha = 1e-2
  K   alpha dv-err
--- ------- ------
  1 1.0e-02   69.35   1
  2 1.0e-02   73.32   1
  5 1.0e-02   74.33   1
 10 1.0e-02   75.80   1
 20 1.0e-02   79.60   1
 50 1.0e-02   76.32   1
 100 1.0e-02   76.73   1
  1 1.0e-02   55.43   2
  2 1.0e-02   60.23   2
  5 1.0e-02   60.73   2
 10 1.0e-02   64.25   2
 20 1.0e-02   67.98   2
 50 1.0e-02   71.68   2
 100 1.0e-02   72.45   2
  1 1.0e-02   28.60   5
  2 1.0e-02   28.25   5
  5 1.0e-02   30.77   5
 10 1.0e-02   31.55   5
 20 1.0e-02   33.82   5
 50 1.0e-02   37.40   5
 100 1.0e-02   38.57   5
  1 1.0e-02   12.47  10
  2 1.0e-02   11.97  10
  5 1.0e-02   11.20  10
 10 1.0e-02   10.88  10
 20 1.0e-02   11.32  10
 50 1.0e-02   10.50  10
 100 1.0e-02   10.73  10
  1 1.0e-02    7.05  20
  2 1.0e-02    6.62  20
  5 1.0e-02    6.25  20
 10 1.0e-02    5.33  20
